stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
1001_00,,名鉄柳津駅,,35.365099632,136.739430569,1001_00,,0,
1002_00,,柳津地域事務所,,35.366209354,136.737876599,1002_00,,0,
1003_00,,北塚会館,,35.366705977,136.734697484,1003_00,,0,
1004_00,,カラフルタウン北口,,35.365922746,136.727198551,1004_00,,0,
1005_00,,下佐波1丁目,,35.36339104,136.721581433,1005_00,,0,
1006_00,,やないづもえぎの里,,35.364142674,136.718494238,1006_00,,0,
1007_00,,スーパービバホーム,,35.369168772929,136.713470220565,1007_00,,0,
1008_00,,ファミリー歯科・黒田内科クリニック南,,35.3730003530048,136.713738441467,1008_00,,0,
1009_00,,くまざき内科前,,35.372893132,136.708549532,1009_00,,0,
101_00,,ＪＲ岐阜駅南口,,35.409027796,136.757406531,101_00,,0,
1010_00,,且格小学校前,,35.373134648,136.706067309,1010_00,,0,
1011_00,,ＪＡ日置江支店前,,35.372940062,136.702752138,1011_00,,0,
1012_00,,天野,,35.371249755,136.697316861,1012_00,,0,
1013_00,,田中歯科医院前,,35.367448505,136.693638421,1013_00,,0,
1014_00,,うおよし前,,35.363872565,136.69521704,1014_00,,0,
1015_00,,大脇森北冷機前,,35.3642653367589,136.703216135501,1015_00,,0,
1016_00,,岐阜聖徳学園大学,,35.361790473,136.705680806,1016_00,,0,
1017_00,,岐阜南病院北・㈱カネヒロ前,,35.3584610469964,136.705895350378,1017_00,,0,
1018_00,,高桑コミュニティ会館,,35.3571619564312,136.710762866138,1018_00,,0,
1019_00,,坂巻,,35.357254307,136.718892112,1019_00,,0,
102_01,,加納北広江町,,35.4081783164557,136.762398113291,102_01,,0,
102_02,,加納北広江町,,35.4082788779737,136.762461145203,102_02,,0,
1020_00,,宮下,,35.35777535,136.721779723,1020_00,,0,
1021_00,,カラフルタウン南口,,35.361337997,136.730234835,1021_00,,0,
1022_00,,カラフルタウン,,35.364847178,136.727321027,1022_00,,0,
1023_00,,南塚4丁目,,35.36109682,136.734082096,1023_00,,0,
1024_00,,梅松,,35.360907334,136.738458457,1024_00,,0,
1025_00,,諏訪山口,,35.4391412289603,136.851272878168,1025_00,,0,
1026_00,,河村病院東,,35.4382585445512,136.844556171941,1026_00,,0,
1027_00,,たなかクリニック前,,35.440368513,136.843917967,1027_00,,0,
1028_00,,コートスマイル前,,35.440223149,136.843088041,1028_00,,0,
103_01,,加納中広江町,,35.4073336711548,136.762536717555,103_01,,0,
103_02,,加納中広江町,,35.407116853,136.762665273,103_02,,0,
1030_00,,日の出町,,35.444067631,136.838147319,1030_00,,0,
1032_00,,へあーさろんまつお前,,35.4469942268193,136.840181965245,1032_00,,0,
1033_00,,本町,,35.4493494207373,136.840607405841,1033_00,,0,
1033_01,,本郷いこい広場,,35.3664522510364,136.742199687763,1033_01,,0,
1033_02,,本郷いこい広場,,35.36638246,136.742073385,1033_02,,0,
1034_00,,イオン柳津店南口,,35.36638437,136.744677613,1034_00,,0,
1035_00,,蓮池6丁目,,35.3657248870267,136.747955517839,1035_00,,0,
1036_00,,東塚1丁目,,35.3652212730201,136.750893374186,1036_00,,0,
1037_00,,松波総合病院,,35.364659629,136.757155051,1037_00,,0,
1038_00,,栄町,,35.3658124141104,136.755744395149,1038_00,,0,
1039_00,,東塚3丁目,,35.368658525,136.751596446,1039_00,,0,
104_01,,中山道・水薬師・大手御門,,35.4051781819941,136.762377797019,104_01,,0,
104_02,,中山道・水薬師・大手御門,,35.405155749,136.762447705,104_02,,0,
1040_00,,柳津東保育所北,,35.367117955,136.749563511,1040_00,,0,
1041_00,,蓮池2丁目（石窯パン工房ドゥマン前）,,35.367222257,136.746651348,1041_00,,0,
1042_00,,イオン柳津店,,35.367489524,136.745097745,1042_00,,0,
1043_00,,竹内医院南,,35.37366927,136.744489026,1043_00,,0,
1044_00,,ワコー自動車前,,35.375650568,136.739997674,1044_00,,0,
1045_00,,サカヤス前,,35.3762456582611,136.737317740917,1045_00,,0,
1046_00,,南鶉3丁目,,35.3763031288004,136.736052506863,1046_00,,0,
1047_00,,江崎歯科東,,35.376736623,136.734277313,1047_00,,0,
1048_00,,鶉小学校前,,35.3784708818605,136.73423320055,1048_00,,0,
1049_00,,中鶉4丁目,,35.38025632,136.734797412,1049_00,,0,
105_01,,附属小・中学校,,35.4033208270427,136.761752875549,105_01,,0,
105_02,,附属小・中学校,,35.403306,136.761823,105_02,,0,
1050_00,,笠松病院・岐阜市地域包括支援センター境川,,35.383509781,136.734169739,1050_00,,0,
1051_00,,スーパー三心東,,35.382340885,136.740858291,1051_00,,0,
1052_00,,うずら歯科,,35.379945124,136.740731097,1052_00,,0,
1053_00,,東鶉7丁目バス停,,35.377297964,136.739992304,1053_00,,0,
1054_00,,津島神社前（鶉）,,35.3781825339022,136.736794159815,1054_00,,0,
1055_00,,鶉公民館前,,35.378535252,136.732581341,1055_00,,0,
1056_00,,岐阜信用金庫うずら支店北,,35.3787208466469,136.729077974663,1056_00,,0,
1057_00,,堀江畳店前,,35.3772017337517,136.728772279218,1057_00,,0,
1058_00,,JA鶉支店前,,35.3767546096,136.726338107,1058_00,,0,
1059_00,,清水野,,35.376787208,136.725133918,1059_00,,0,
106_01,,加納小学校・加納東公民館,,35.4019556500317,136.761425678479,106_01,,0,
106_02,,加納小学校・加納東公民館,,35.401532762,136.761382027,106_02,,0,
1060_00,,かねまつ整形外科前,,35.3769490840142,136.721564573351,1060_00,,0,
1061_00,,宮上ふれあい会館西,,35.371027781,136.719992727,1061_00,,0,
